;month;day;hour;minute;avg_generation;ano_1
231;1;10;15;0;576.8054613;576.8054613
232;1;10;16;0;576.8054613;576.8054613
233;1;10;17;0;439.6418908;439.6418908
234;1;10;18;0;106.9281648;106.9281648
235;1;10;19;0;-0.650685362;-0.650685362
236;1;10;20;0;-0.650685362;-0.650685362
237;1;10;21;0;-0.650685362;-0.650685362
238;1;10;22;0;-0.650685362;-0.650685362
239;1;10;23;0;-0.650685362;-0.650685362
240;1;11;0;0;-0.650685362;-0.650685362
241;1;11;1;0;-0.650685362;-0.650685362
242;1;11;2;0;-0.650685362;-0.650685362
243;1;11;3;0;-0.650685362;-0.650685362
244;1;11;4;0;-0.650685362;-0.650685362
245;1;11;5;0;-0.650685362;-0.650685362
246;1;11;6;0;7.515641861;7.515641861
247;1;11;7;0;11.85241461;11.85241461
248;1;11;8;0;72.98181909;72.98181909
249;1;11;9;0;126.0646405;126.0646405
250;1;11;10;0;343.5697786;343.5697786
251;1;11;11;0;576.8054613;576.8054613
252;1;11;12;0;576.8054613;576.8054613
253;1;11;13;0;509.6978851;509.6978851
254;1;11;14;0;307.2003078;307.2003078
255;1;11;15;0;83.25044746;83.25044746
256;1;11;16;0;21.67765061;21.67765061
257;1;11;17;0;26.37873938;26.37873938
258;1;11;18;0;18.81113306;18.81113306
259;1;11;19;0;-0.650685362;-0.650685362
260;1;11;20;0;-0.650685362;-0.650685362
261;1;11;21;0;-0.650685362;-0.650685362
262;1;11;22;0;-0.650685362;-0.650685362
263;1;11;23;0;-0.650685362;-0.650685362
264;1;12;0;0;-0.650685362;-0.650685362
265;1;12;1;0;-0.650685362;-0.650685362
266;1;12;2;0;-0.650685362;-0.650685362
267;1;12;3;0;-0.650685362;-0.650685362
268;1;12;4;0;-0.650685362;-0.650685362
269;1;12;5;0;-0.650685362;-0.650685362
270;1;12;6;0;104.6914339;104.6914339
271;1;12;7;0;388.7449655;388.7449655
272;1;12;8;0;459.4109773;459.4109773
273;1;12;9;0;576.8054613;576.8054613
274;1;12;10;0;576.8054613;576.8054613
275;1;12;11;0;576.8054613;576.8054613
276;1;12;12;0;576.8054613;576.8054613
277;1;12;13;0;576.8054613;576.8054613
278;1;12;14;0;576.8054613;576.8054613
279;1;12;15;0;254.4224951;254.4224951
280;1;12;16;0;25.97714451;25.97714451
