scenario,year,month,can_production_mwh,curtailment_cnf_mwh,curtailment_ene_mwh,curtailment_mwh,curtailment_pct,curtailment_cnf_pct,curtailment_ene_pct
low,2035,2,45966.6013665519,1172.798559333688,675.5707315841572,1848.3692909178453,0.04021113669419187,0.025514145585431247,0.014696991108760625
low,2035,3,45372.0939091335,352.6469085754446,815.3903150757541,1168.0372236511987,0.025743515959180147,0.007772330483175167,0.017971185476004983
low,2035,4,41218.0180375478,0.0,299.16969154868275,299.16969154868275,0.007258226032997325,0.0,0.007258226032997325
low,2035,5,37714.1299801733,0.0,474.1354485623887,474.1354485623887,0.012571825170344551,0.0,0.012571825170344551
low,2035,6,35583.8140358138,0.0,828.5349780037068,828.5349780037068,0.023284040804895642,0.0,0.023284040804895642
low,2035,7,38782.3918665371,0.0,870.0633528945035,870.0633528945035,0.022434494393452475,0.0,0.022434494393452475
low,2035,8,41903.0232747619,0.0,2278.767425697995,2278.767425697995,0.05438193351243206,0.0,0.05438193351243206
low,2035,9,48643.8704675765,912.5408886394748,2309.132846521214,3221.673735160689,0.06622979841433652,0.018759627469358706,0.04747017094497781
low,2035,10,53643.0366038623,2128.386592504746,2193.628844409221,4322.015436913967,0.08056992501805503,0.039676847681503216,0.040893077336551814
low,2035,11,49467.2438266903,983.7985854894918,1572.834189558867,2556.632775048359,0.05168334795456938,0.019887879521572987,0.03179546843299639
low,2035,12,50912.8346379014,696.4125311447206,3701.467605735961,4397.880136880682,0.08638057904571546,0.013678525976754107,0.07270205306896135
central,2026,1,46384.3206422967,0.0,11320.7888166894,11320.7888166894,0.2440649913575808,0.0,0.2440649913575808
central,2026,2,36797.8254240519,0.0,6307.04367192908,6307.04367192908,0.17139718445989072,0.0,0.17139718445989072
central,2026,3,36321.9295016335,0.0,9063.76150210568,9063.76150210568,0.2495396479886361,0.0,0.2495396479886361
central,2026,4,32996.4481770478,0.0,5995.44399680539,5995.44399680539,0.18169967763305497,0.0,0.18169967763305497
central,2026,5,30191.4544436733,0.0,2733.66748634246,2733.66748634246,0.09054441187795467,0.0,0.09054441187795467
