"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202401";NORDESTE;86;"04";"13";61.07
"202401";NORTE;86;"04";"13";61.07
"202401";SUDESTE;86;"04";"13";61.07
"202401";SUL;86;"04";"13";61.07
"202401";NORDESTE;87;"04";"14";61.07
"202401";NORTE;87;"04";"14";61.07
"202401";SUDESTE;87;"04";"14";61.07
"202401";SUL;87;"04";"14";61.07
"202401";NORDESTE;88;"04";"15";61.07
"202401";NORTE;88;"04";"15";61.07
"202401";SUDESTE;88;"04";"15";61.07
"202401";SUL;88;"04";"15";61.07
"202401";NORDESTE;89;"04";"16";61.07
"202401";NORTE;89;"04";"16";61.07
"202401";SUDESTE;89;"04";"16";61.07
"202401";SUL;89;"04";"16";61.07
"202401";NORDESTE;90;"04";"17";61.07
"202401";NORTE;90;"04";"17";61.07
"202401";SUDESTE;90;"04";"17";61.07
"202401";SUL;90;"04";"17";61.07
"202401";NORDESTE;91;"04";"18";61.07
"202401";NORTE;91;"04";"18";61.07
"202401";SUDESTE;91;"04";"18";61.07
"202401";SUL;91;"04";"18";61.07
"202401";NORDESTE;92;"04";"19";61.07
"202401";NORTE;92;"04";"19";61.07
"202401";SUDESTE;92;"04";"19";61.07
"202401";SUL;92;"04";"19";61.07
"202401";NORDESTE;93;"04";"20";61.07
"202401";NORTE;93;"04";"20";61.07
"202401";SUDESTE;93;"04";"20";61.07
"202401";SUL;93;"04";"20";61.07
"202401";NORDESTE;94;"04";"21";61.07
"202401";NORTE;94;"04";"21";61.07
"202401";SUDESTE;94;"04";"21";61.07
"202401";SUL;94;"04";"21";61.07
"202401";NORDESTE;95;"04";"22";61.07
"202401";NORTE;95;"04";"22";61.07
"202401";SUDESTE;95;"04";"22";61.07
"202401";SUL;95;"04";"22";61.07
"202401";NORDESTE;96;"04";"23";61.07
"202401";NORTE;96;"04";"23";61.07
"202401";SUDESTE;96;"04";"23";61.07
"202401";SUL;96;"04";"23";61.07
"202401";NORDESTE;97;"05";"00";61.07
"202401";NORTE;97;"05";"00";61.07
"202401";SUDESTE;97;"05";"00";61.07
"202401";SUL;97;"05";"00";61.07
"202401";NORDESTE;98;"05";"01";61.07
"202401";NORTE;98;"05";"01";61.07
"202401";SUDESTE;98;"05";"01";61.07
"202401";SUL;98;"05";"01";61.07
"202401";NORDESTE;99;"05";"02";61.07
"202401";NORTE;99;"05";"02";61.07
"202401";SUDESTE;99;"05";"02";61.07
"202401";SUL;99;"05";"02";61.07
"202401";NORDESTE;100;"05";"03";61.07
"202401";NORTE;100;"05";"03";61.07
"202401";SUDESTE;100;"05";"03";61.07
"202401";SUL;100;"05";"03";61.07
"202401";NORDESTE;101;"05";"04";61.07
"202401";NORTE;101;"05";"04";61.07
"202401";SUDESTE;101;"05";"04";61.07
"202401";SUL;101;"05";"04";61.07
"202401";NORDESTE;102;"05";"05";61.07
"202401";NORTE;102;"05";"05";61.07
"202401";SUDESTE;102;"05";"05";61.07
"202401";SUL;102;"05";"05";61.07
"202401";NORDESTE;103;"05";"06";61.07
"202401";NORTE;103;"05";"06";61.07
"202401";SUDESTE;103;"05";"06";61.07
"202401";SUL;103;"05";"06";61.07
"202401";NORDESTE;104;"05";"07";61.07
"202401";NORTE;104;"05";"07";61.07
"202401";SUDESTE;104;"05";"07";61.07
"202401";SUL;104;"05";"07";61.07
"202401";NORDESTE;105;"05";"08";61.07
"202401";NORTE;105;"05";"08";61.07
"202401";SUDESTE;105;"05";"08";61.07
"202401";SUL;105;"05";"08";61.07
"202401";NORDESTE;106;"05";"09";61.07
"202401";NORTE;106;"05";"09";61.07
"202401";SUDESTE;106;"05";"09";61.07
"202401";SUL;106;"05";"09";61.07
"202401";NORDESTE;107;"05";"10";61.07
"202401";NORTE;107;"05";"10";61.07
"202401";SUDESTE;107;"05";"10";61.07
"202401";SUL;107;"05";"10";61.07
"202401";NORDESTE;108;"05";"11";61.07
"202401";NORTE;108;"05";"11";61.07
"202401";SUDESTE;108;"05";"11";61.07
"202401";SUL;108;"05";"11";61.07
"202401";NORDESTE;109;"05";"12";61.07
"202401";NORTE;109;"05";"12";61.07
"202401";SUDESTE;109;"05";"12";61.07
"202401";SUL;109;"05";"12";61.07
"202401";NORDESTE;110;"05";"13";61.07
